milis,ecg
1436875459372,1023
1436875459376,503
1436875459380,504
1436875459384,504
1436875459388,504
1436875459392,504
1436875459396,504
1436875459400,504
1436875459404,504
1436875459408,504
1436875459412,505
1436875459416,505
1436875459420,505
1436875459424,505
1436875459428,505
1436875459432,505
1436875459436,504
1436875459440,504
1436875459444,504
1436875459448,504
1436875459452,504
1436875459456,505
1436875459460,505
1436875459464,505
1436875459468,505
1436875459472,505
1436875459476,504
1436875459480,504
1436875459484,505
1436875459488,505
1436875459492,505
1436875459496,505
1436875459500,504
1436875459504,504
1436875459508,504
1436875459512,504
1436875459516,504
1436875459520,504
1436875459524,504
1436875459528,504
1436875459532,504
1436875459536,504
1436875459540,504
1436875459544,504
1436875459548,504
1436875459552,504
1436875459556,504
1436875459560,504
1436875459564,504
1436875459568,504
1436875459572,503
1436875459576,1023
1436875459580,503
1436875459584,503
1436875459588,503
1436875459592,1023
1436875459596,503
1436875459600,503
1436875459604,503
1436875459608,1023
1436875459612,503
1436875459616,503
1436875459620,503
1436875459624,1023
1436875459628,503
1436875459632,503
1436875459636,503
1436875459640,1023
1436875459644,503
1436875459648,503
1436875459652,503
1436875459656,1023
1436875459660,503
1436875459664,504
1436875459668,504
1436875459672,504
1436875459676,504
1436875459680,505
1436875459684,505
1436875459688,504
1436875459692,505
1436875459696,505
1436875459700,505
1436875459704,504
1436875459708,504
1436875459712,504
1436875459716,504
1436875459720,504
1436875459724,504
1436875459728,504
1436875459732,504
1436875459736,504
1436875459740,504
1436875459744,504
1436875459748,504
1436875459752,504
1436875459756,504
1436875459760,505
1436875459764,505
1436875459768,505
1436875459772,504
1436875459776,501
1436875459780,497
1436875459784,492
1436875459788,487
1436875459792,486
1436875459796,489
1436875459800,498
1436875459804,513
1436875459808,531
1436875459812,553
1436875459816,575
1436875459820,592
1436875459824,600
1436875459828,1023
1436875459832,576
1436875459836,551
1436875459840,525
1436875459844,1023
1436875459848,498
1436875459852,497
1436875459856,498
1436875459860,500
1436875459864,501
1436875459868,500
1436875459872,500
1436875459876,500
1436875459880,500
1436875459884,499
1436875459888,499
1436875459892,500
1436875459896,500
1436875459900,500
1436875459904,500
1436875459908,500
1436875459912,500
1436875459916,500
1436875459920,501
1436875459924,501
1436875459928,501
1436875459932,501
1436875459936,501
1436875459940,501
1436875459944,501
1436875459948,501
1436875459952,501
1436875459956,501
1436875459960,501
1436875459964,502
1436875459968,1022
1436875459972,502
1436875459976,503
1436875459980,503
1436875459984,1023
1436875459988,503
1436875459992,503
1436875459996,504
1436875460000,504
1436875460004,504
1436875460008,505
1436875460012,505
1436875460016,505
1436875460020,505
1436875460024,505
1436875460028,505
1436875460032,1022
1436875460036,506
1436875460040,506
1436875460044,507
1436875460048,1023
1436875460052,508
1436875460056,508
1436875460060,507
1436875460064,1023
1436875460068,506
1436875460072,505
1436875460076,505
